customer_id,customer_fname,customer_lname,customer_street,customer_city,customer_state
1,Richard,Hernandez,6303 Heather Plaza,Brownsville,TX
2,Mary,Barrett,9526 Noble Embers Ridge,Littleton,CO
3,Ann,Smith,3422 Blue Pioneer Bend,Caguas,PR
4,Mary,Jones,8324 Little Common,San Marcos,CA
5,Robert,Hudson,10 Crystal River Mall ,Caguas,PR
6,Mary,Smith,3151 Sleepy Quail Promenade,Passaic,NJ
7,Melissa,Wilcox,9453 High Concession,Caguas,PR
8,Megan,Smith,3047 Foggy Forest Plaza,Lawrence,MA
9,Mary,Perez,3616 Quaking Street,Caguas,PR
10,Melissa,Smith,8598 Harvest Beacon Plaza,Stafford,VA
11,Mary,Huffman,3169 Stony Woods,Caguas,PR
12,Christopher,Smith,5594 Jagged Embers By-pass,San Antonio,TX
13,Mary,Baldwin,7922 Iron Oak Gardens,Caguas,PR
14,Katherine,Smith,5666 Hazy Pony Square,Pico Rivera,CA
15,Jane,Luna,673 Burning Glen,Fontana,CA
16,Tiffany,Smith,6651 Iron Port,Caguas,PR
17,Mary,Robinson,1325 Noble Pike,Taylor,MI
18,Robert,Smith,2734 Hazy Butterfly Circle,Martinez,CA
19,Stephanie,Mitchell,3543 Red Treasure Bay,Caguas,PR
20,Mary,Ellis,4703 Old Route,West New York,NJ
21,William,Zimmerman,3323 Old Willow Mall ,Caguas,PR
22,Joseph,Smith,7740 Broad Fox Villas,North Bergen,NJ
23,Benjamin,Duarte,8811 High Horse Impasse,San Juan,PR
24,Mary,Smith,9417 Emerald Towers,Caguas,PR
25,Paul,Richardson,318 Merry Creek Mountain,Peoria,AZ
26,Johnny,Hood,9576 Middle Hills Round,Glenview,IL
27,Mary,Vincent,1768 Sleepy Zephyr Place,Caguas,PR
28,Timothy,Smith,9366 Colonial Horse Close,Longview,WA
29,Mary,Humphrey,2469 Blue Brook Crossing,Fort Worth,TX
30,Barbara,Smith,2455 Merry Hollow,Caguas,PR
31,Mary,Byrd,8259 Foggy Edge,Albuquerque,NM
32,Alice,Smith,2082 Hidden Green,Caguas,PR
33,Adam,Petersen,9768 Noble Horse Heights,Norfolk,VA
34,Mary,Smith,3330 Easy Berry Range,Caguas,PR
35,Margaret,Wright,9456 Sleepy Jetty,Oceanside,CA
36,Michelle,Carey,6336 Fallen Village,Caguas,PR
37,Virginia,Conrad,6115 Indian Beacon Close,Norfolk,VA
38,Mary,Smith,2805 Crystal Moor,Opelousas,LA
39,Juan,Mckinney,7274 Blue Wagon  Villas,Caguas,PR
40,Mary,Smith,7358 Rocky Villas,Long Beach,CA
41,Victoria,Mason,7869 Crystal View Villas,Brooklyn,NY
42,Ethan,Smith,7533 Thunder Wagon  Beach,Duluth,GA
43,Mary,Herring,4575 Thunder Dale,Caguas,PR
44,Howard,Smith,1356 Easy Plaza,Napa,CA
45,Mary,Nunez,1229 Bright Robin Corners,Denver,CO
46,Jennifer,Smith,5463 Rocky Autoroute,Freeport,NY
47,Lori,Fuller,357 Noble Lane,Caguas,PR
48,Mary,Cowan,1040 Hazy Timber Lookout,Strongsville,OH
49,Martha,Smith,7449 Merry Chase,Caguas,PR
50,Mary,Kim,938 Rustic Pine Ridge,San Bernardino,CA
51,Jessica,Smith,8344 Dewy Fawn Farms,Caguas,PR
52,Mary,Lawson,65 Silent Inlet,Chicago,IL
53,Katherine,Smith,975 Honey Loop,Roswell,GA
54,Mary,Olson,7333 Cinder Way,Caguas,PR
55,Janet,Farley,6512 Middle Parade,Phoenix,AZ
56,Mary,Kaiser,7554 Stony Goose Crossing,Caguas,PR
57,Mary,Smith,57 High Villas,Baltimore,MD
58,Michael,Edwards,4770 Blue Pines,Caguas,PR
59,Douglas,James,2306 Green Lane,Sunnyvale,CA
60,Mary,Gutierrez,8632 Bright Route,Webster,NY
61,Margaret,Summers,8963 Hidden Panda Meadow,Caguas,PR
62,Mary,Oneal,2659 Jagged Rabbit View,Brooklyn,NY
63,Aaron,Smith,2265 Foggy Lagoon Bend,Caguas,PR
64,Mary,Reynolds,2407 Gentle Woods,Chicago,IL
65,Jennifer,Smith,7126 Shady Bluff Promenade,Princeton,NJ
66,Mary,Booth,8824 Noble View Valley,Caguas,PR
67,Samantha,Smith,7869 Wishing Anchor Court,Chicago,IL
68,Mary,Oneal,376 Silver Terrace,Peoria,AZ
69,Megan,Smith,7796 Thunder Forest Villas,Caguas,PR
70,Mary,Simmons,5553 Cinder Harbour,Los Angeles,CA
71,Charles,Smith,6140 Pleasant Dale Farm,Philadelphia,PA
72,Frank,Gillespie,5332 Heather Hills Isle,Vista,CA
73,Mary,Smith,8247 Little Cider Close,Caguas,PR
74,Alice,Rush,409 Iron Park,Jacksonville,NC
75,Mary,Smith,1510 Broad Rise Expressway,Caguas,PR
76,Joseph,Young,7605 Tawny Horse Falls,Los Angeles,CA
77,Shirley,Dalton,1021 Silver Log Cape,Caguas,PR
78,Jeremy,Smith,2714 Dewy Bay,Parkville,MD
79,Mary,Watkins,1315 Honey Rabbit Link,Knoxville,TN
80,Joe,Parsons,3891 Broad Line,Caguas,PR
81,Mary,Smith,8434 Honey Pines,Ithaca,NY
82,Jonathan,Cook,7885 Sleepy Cove,San Antonio,TX
83,Mary,Wong,8584 Lazy Via,Caguas,PR
84,Douglas,Smith,6540 Emerald Turnabout,Tampa,FL
85,Mary,Perez,5104 Iron Log Limits,Caguas,PR
86,John,Smith,8780 Colonial Orchard,Fort Worth,TX
87,Gloria,Brown,3996 Crystal Zephyr Swale,Caguas,PR
88,Mary,Henry,7262 Cotton Arbor,Atlanta,GA
89,Sean,Smith,9126 Wishing Expressway,Escondido,CA
90,Mary,Hurley,6640 Sunny Via,Caguas,PR
91,Ashley,Smith,4515 Golden Manor,Spring,TX
92,Alexander,Medina,2805 Dewy Impasse,Caguas,PR
93,Mary,Robbins,456 Colonial Glen,Annapolis,MD
94,Mary,Smith,921 Broad Chase,Caguas,PR
95,Susan,Williams,3587 Thunder Rise,Hyattsville,MD
96,Virginia,Smith,6080 Blue Close,Caguas,PR
97,Mary,Rhodes,1463 Silver Mountain Gate,Phoenix,AZ
98,William,Smith,4592 Grand Timber Ramp,Caguas,PR
99,Betty,Munoz,9761 Green Jetty,Las Vegas,NV
100,George,Barrett,4110 Silent Pointe,Caguas,PR
101,Mary,Briggs,8342 Crystal Drive,Dorchester Center,MA
102,Gregory,Smith,5393 Hidden Glade,Caguas,PR
103,Mary,Williams,4501 Cinder Dell,Broomfield,CO
104,Debra,Wood,8263 Harvest Estates,Saint Paul,MN
105,Mary,Smith,8696 Fallen Cloud Circle,Caguas,PR
106,Lauren,Freeman,2783 Foggy Mews,Napa,CA
107,Mary,Weaver,1449 Amber Island,Caguas,PR
108,Joshua,Smith,4587 Noble Zephyr Promenade,Bronx,NY
109,Mary,Thompson,8662 Clear Nectar Mall ,Caguas,PR
110,David,Miranda,1491 Little Robin Way,Beaverton,OR
111,Frank,Smith,8736 Hazy River Manor,Caguas,PR
112,Mary,Daniels,9814 Blue Anchor Dell,Middletown,OH
113,Patricia,Smith,2457 Blue Hills Heights,Caguas,PR
114,Alice,Warner,4566 Burning Deer Meadow,Bellflower,CA
115,Mary,Smith,1613 Broad Beach,West Covina,CA
116,John,Hill,3996 Honey Grove Place,Caguas,PR
117,Mary,Smith,6063 Golden Point,La Crosse,WI
118,Katherine,Olson,9530 Little Fox Towers,Ogden,UT
119,Mary,Rosario,5488 Thunder Fox Extension,Caguas,PR
120,Nancy,Smith,7840 Umber Sky Villas,Bronx,NY
121,Mary,Yoder,3570 Crystal Cider Circuit,Caguas,PR
122,Karen,Smith,7573 Cozy Goose Road,Cincinnati,OH
123,Mary,Mann,7676 Colonial Towers,Bend,OR
124,Judy,Smith,911 Sleepy Cloud Carrefour,Caguas,PR
125,Mary,Gallagher,9831 Sunny Cloud Valley,Oxnard,CA
126,Austin,Smith,852 Hazy Gate Circuit,Amarillo,TX
127,Mary,Martin,437 Cozy Log Range,Caguas,PR
128,Rose,Lopez,9557 Harvest Mews,Augusta,GA
129,Crystal,Smith,3688 Thunder Prairie Heights,Caguas,PR
130,Mary,Holland,9897 Sunny Via,Aurora,IL
131,Brenda,Cline,8632 Bright Route,Methuen,MA
132,Eric,Smith,1131 Cotton Grounds,Caguas,PR
133,Mary,Lopez,948 Thunder Gate Beach,Brooklyn,NY
134,Donna,Gomez,1690 Cinder Deer Chase,Brooklyn,NY
135,Mary,Smith,9624 Hidden Villas,Caguas,PR
136,Ryan,Griffin,7897 Stony Thicket,Lynn,MA
137,Jonathan,Perkins,182 Bright Embers Cove,Broken Arrow,OK
138,Mary,Dawson,9544 Noble Spring Route,Caguas,PR
139,Daniel,Maxwell,9468 Red Corner,San Diego,CA
140,Amanda,Smith,5712 Heather Rise,Caguas,PR
141,Mary,Mcmahon,1526 Broad Mountain Plaza,Brooklyn,NY
142,Heather,Smith,814 Jagged Cape,Opa Locka,FL
143,Mary,Byrd,7793 Round Oak Key,Caguas,PR
