customer_id,customer_street,customer_city,customer_state,customer_fullname
1,6303 Heather Plaza,Brownsville,TX,Richard Hernandez
2,9526 Noble Embers Ridge,Littleton,CO,Mary Barrett
3,3422 Blue Pioneer Bend,Caguas,PR,Ann Smith
4,8324 Little Common,San Marcos,CA,Mary Jones
5,10 Crystal River Mall ,Caguas,PR,Robert Hudson
6,3151 Sleepy Quail Promenade,Passaic,NJ,Mary Smith
7,9453 High Concession,Caguas,PR,Melissa Wilcox
8,3047 Foggy Forest Plaza,Lawrence,MA,Megan Smith
9,3616 Quaking Street,Caguas,PR,Mary Perez
10,8598 Harvest Beacon Plaza,Stafford,VA,Melissa Smith
11,3169 Stony Woods,Caguas,PR,Mary Huffman
12,5594 Jagged Embers By-pass,San Antonio,TX,Christopher Smith
13,7922 Iron Oak Gardens,Caguas,PR,Mary Baldwin
14,5666 Hazy Pony Square,Pico Rivera,CA,Katherine Smith
15,673 Burning Glen,Fontana,CA,Jane Luna
16,6651 Iron Port,Caguas,PR,Tiffany Smith
17,1325 Noble Pike,Taylor,MI,Mary Robinson
18,2734 Hazy Butterfly Circle,Martinez,CA,Robert Smith
19,3543 Red Treasure Bay,Caguas,PR,Stephanie Mitchell
20,4703 Old Route,West New York,NJ,Mary Ellis
21,3323 Old Willow Mall ,Caguas,PR,William Zimmerman
22,7740 Broad Fox Villas,North Bergen,NJ,Joseph Smith
23,8811 High Horse Impasse,San Juan,PR,Benjamin Duarte
24,9417 Emerald Towers,Caguas,PR,Mary Smith
25,318 Merry Creek Mountain,Peoria,AZ,Paul Richardson
26,9576 Middle Hills Round,Glenview,IL,Johnny Hood
27,1768 Sleepy Zephyr Place,Caguas,PR,Mary Vincent
28,9366 Colonial Horse Close,Longview,WA,Timothy Smith
29,2469 Blue Brook Crossing,Fort Worth,TX,Mary Humphrey
30,2455 Merry Hollow,Caguas,PR,Barbara Smith
31,8259 Foggy Edge,Albuquerque,NM,Mary Byrd
32,2082 Hidden Green,Caguas,PR,Alice Smith
33,9768 Noble Horse Heights,Norfolk,VA,Adam Petersen
34,3330 Easy Berry Range,Caguas,PR,Mary Smith
35,9456 Sleepy Jetty,Oceanside,CA,Margaret Wright
36,6336 Fallen Village,Caguas,PR,Michelle Carey
37,6115 Indian Beacon Close,Norfolk,VA,Virginia Conrad
38,2805 Crystal Moor,Opelousas,LA,Mary Smith
39,7274 Blue Wagon  Villas,Caguas,PR,Juan Mckinney
40,7358 Rocky Villas,Long Beach,CA,Mary Smith
41,7869 Crystal View Villas,Brooklyn,NY,Victoria Mason
42,7533 Thunder Wagon  Beach,Duluth,GA,Ethan Smith
43,4575 Thunder Dale,Caguas,PR,Mary Herring
44,1356 Easy Plaza,Napa,CA,Howard Smith
45,1229 Bright Robin Corners,Denver,CO,Mary Nunez
46,5463 Rocky Autoroute,Freeport,NY,Jennifer Smith
47,357 Noble Lane,Caguas,PR,Lori Fuller
48,1040 Hazy Timber Lookout,Strongsville,OH,Mary Cowan
49,7449 Merry Chase,Caguas,PR,Martha Smith
50,938 Rustic Pine Ridge,San Bernardino,CA,Mary Kim
51,8344 Dewy Fawn Farms,Caguas,PR,Jessica Smith
52,65 Silent Inlet,Chicago,IL,Mary Lawson
53,975 Honey Loop,Roswell,GA,Katherine Smith
54,7333 Cinder Way,Caguas,PR,Mary Olson
55,6512 Middle Parade,Phoenix,AZ,Janet Farley
56,7554 Stony Goose Crossing,Caguas,PR,Mary Kaiser
57,57 High Villas,Baltimore,MD,Mary Smith
58,4770 Blue Pines,Caguas,PR,Michael Edwards
59,2306 Green Lane,Sunnyvale,CA,Douglas James
60,8632 Bright Route,Webster,NY,Mary Gutierrez
61,8963 Hidden Panda Meadow,Caguas,PR,Margaret Summers
62,2659 Jagged Rabbit View,Brooklyn,NY,Mary Oneal
63,2265 Foggy Lagoon Bend,Caguas,PR,Aaron Smith
64,2407 Gentle Woods,Chicago,IL,Mary Reynolds
65,7126 Shady Bluff Promenade,Princeton,NJ,Jennifer Smith
66,8824 Noble View Valley,Caguas,PR,Mary Booth
67,7869 Wishing Anchor Court,Chicago,IL,Samantha Smith
68,376 Silver Terrace,Peoria,AZ,Mary Oneal
